,id,id_offers,miasto,dzielnica,ulica,tytul,powierzchnia,cena,cena_metr,liczba_pokoi,rynek,zabudowa,pietro,liczba_pieter,material_budynku,okna,ogrzewanie,rok_budowy,stan_wykonczenia,czynsz,forma_wlasnosci,numer_oferty,teren_zamkniety,balkon,ogrodek,garaz_miejsce,winda,piwnica,monitoring_ochrona,latitude,longitude
0,1,1,Gdañsk,Osowa,ul. Homera,"Wygodne mieszkanie 3-pokojowe (41,75 m2) z ogrodem",41.75,309000,7401.0,3,pierwotny,blok,parter,2.0,pustak,plastikowe,miejskie,2020.0,do_wykonczenia,,pelna_wlasnosc,60942989,0,0,1,0,1,0,0,54.41918,18.4845195
1,2,2,Gdañsk,Ujeœcisko-£ostowice,ul. Œwiêtokrzyska,"Idealne, nowe mieszkanie 2 pokojowe",46.6,415000,8906.0,2,wtorny,blok,2,2.0,,plastikowe,miejskie,2018.0,do_zamieszkania,400.0,pelna_wlasnosc,60831045,0,1,0,0,1,1,1,54.319064,18.5907742
2,3,3,Gdañsk,Œródmieœcie,Wa³owa,2 pokoje w centrum Gdañska w niskiej cenie,33.8,313000,9260.0,2,pierwotny,apartamentowiec,4,5.0,,,miejskie,2020.0,do_wykonczenia,9.0,pelna_wlasnosc,60933557,0,0,0,0,1,0,1,54.3584168,18.6546345
3,4,4,Gdynia,D¹browa,Sojowa,"Gdynia D¹browa Idealna Lokalizacja 2 pokoje, aneks",42.0,249000,5929.0,2,wtorny,blok,3,3.0,wielka_plyta,plastikowe,miejskie,1994.0,do_zamieszkania,340.0,pelna_wlasnosc,60783576,0,0,0,0,0,0,0,54.4708542,18.4696724
4,5,5,Gdynia,D¹browa,,Kameralne bezpieczne w zieleni gara¿ 30m2 kominek,132.0,1120000,8485.0,4,wtorny,apartamentowiec,1,2.0,,,gazowe,2018.0,do_zamieszkania,,pelna_wlasnosc,60949737,1,0,0,0,0,1,1,,
5,6,6,Sopot,,,"Piêkny apartament 4 pokoje,dwa gara¿e,winda-Sopot!",85.0,1590000,18706.0,4,wtorny,apartamentowiec,2,4.0,,plastikowe,miejskie,2014.0,,,pelna_wlasnosc,60960685,0,1,0,0,1,0,1,,
6,7,7,Gdynia,D¹browa,Gorczycowa,Na sprzeda¿ klimatyczne mieszkanie - D¹browa !,78.0,499000,6397.0,2,wtorny,,3,3.0,,,miejskie,2000.0,do_zamieszkania,,pelna_wlasnosc,60960664,0,1,0,0,0,1,0,54.47147769999999,18.4622831
7,8,8,Gdynia,Ob³u¿e,ul. Boisko,"Gdynia, 70m2 z ogródkiem M4 Osiedle Nawigator",70.0,590000,8429.0,4,wtorny,blok,parter,4.0,inne,plastikowe,miejskie,2015.0,do_zamieszkania,500.0,,60761361,0,1,1,0,1,1,1,54.5518313,18.5015879
8,9,9,Gdañsk,Che³m,ul. Alojzego Bruskiego,Bardzo s³oneczne mieszkanie z 2 balkonami,78.4,689000,8788.0,4,wtorny,blok,2,3.0,,drewniane,miejskie,2004.0,do_zamieszkania,650.0,spoldzielcze_wlasnosciowe,60628633,0,1,0,0,0,1,0,54.3223859,18.6097694
9,10,10,Gdynia,Cisowa,,3 pokoje 4 piêtro Morska 230 Gdynia,62.9,437000,6948.0,3,wtorny,blok,4,4.0,wielka_plyta,plastikowe,miejskie,1990.0,do_zamieszkania,400.0,spoldzielcze_wl._z_KW,60960544,0,1,0,0,0,1,0,,
10,11,11,Gdynia,D¹browa,ul. Kolendrowa 5A,Kolendrowa 5 A Gdynia 59m2,59.0,395000,6695.0,2,wtorny,blok,4,4.0,wielka_plyta,plastikowe,miejskie,1992.0,do_wykonczenia,350.0,spoldzielcze_wl._z_KW,60960531,0,1,0,0,0,1,0,54.46916119999999,18.4665048
